brand,name,description,category,featured,status,artwork,denominations,totalSold,createdAt
Amazon,Amazon Gift Card,Shop millions of items on Amazon with this versatile gift card. Perfect for any occasion.,shopping,true,active,amazon-classic,"10:15:AMZN10XXX001-AMZN10XXX015|25:20:AMZN25XXX001-AMZN25XXX020|50:25:AMZN50XXX001-AMZN50XXX025|100:18:AMZN100XX001-AMZN100XX018|200:10:AMZN200XX001-AMZN200XX010|500:5:AMZN500XX001-AMZN500XX005",342,2024-01-15T10:00:00Z
Apple,Apple Gift Card,Use it for apps games music movies and more across all Apple services.,technology,true,active,apple-modern,"10:20:APPL10XXX001-APPL10XXX020|25:25:APPL25XXX001-APPL25XXX025|50:30:APPL50XXX001-APPL50XXX030|100:15:APPL100XX001-APPL100XX015|250:8:APPL250XX001-APPL250XX008",287,2024-01-16T11:30:00Z
Starbucks,Starbucks Card,Treat someone special to their favorite coffee drinks and snacks.,food,true,active,starbucks-green,"5:30:SBUX05XXX001-SBUX05XXX030|10:35:SBUX10XXX001-SBUX10XXX035|15:25:SBUX15XXX001-SBUX15XXX025|25:20:SBUX25XXX001-SBUX25XXX020|50:15:SBUX50XXX001-SBUX50XXX015|100:10:SBUX100XX001-SBUX100XX010",456,2024-01-17T09:15:00Z
Netflix,Netflix Gift Card,Give the gift of entertainment with months of unlimited streaming.,entertainment,true,active,netflix-red,"15:20:NFLX15XXX001-NFLX15XXX020|30:25:NFLX30XXX001-NFLX30XXX025|60:20:NFLX60XXX001-NFLX60XXX020|100:15:NFLX100XX001-NFLX100XX015",198,2024-01-18T14:20:00Z
Spotify,Spotify Premium,Ad-free music streaming with millions of songs and podcasts.,entertainment,true,active,spotify-gradient,"10:25:SPOT10XXX001-SPOT10XXX025|30:20:SPOT30XXX001-SPOT30XXX020|60:15:SPOT60XXX001-SPOT60XXX015|99:10:SPOT99XXX001-SPOT99XXX010",167,2024-01-19T16:45:00Z
Target,Target GiftCard,Shop thousands of items at Target stores and Target.com.,shopping,true,active,target-bullseye,"10:20:TRGT10XXX001-TRGT10XXX020|25:25:TRGT25XXX001-TRGT25XXX025|50:20:TRGT50XXX001-TRGT50XXX020|100:15:TRGT100XX001-TRGT100XX015|200:8:TRGT200XX001-TRGT200XX008",234,2024-01-20T12:00:00Z
Walmart,Walmart Gift Card,Save money and live better with Walmart's everyday low prices.,shopping,false,active,walmart-spark,"10:18:WMRT10XXX001-WMRT10XXX018|25:22:WMRT25XXX001-WMRT25XXX022|50:20:WMRT50XXX001-WMRT50XXX020|100:12:WMRT100XX001-WMRT100XX012|250:6:WMRT250XX001-WMRT250XX006",189,2024-01-21T08:30:00Z
Uber,Uber Gift Card,Rides and Uber Eats deliveries at your fingertips.,transportation,true,active,uber-black,"10:15:UBER10XXX001-UBER10XXX015|25:20:UBER25XXX001-UBER25XXX020|50:15:UBER50XXX001-UBER50XXX015|100:10:UBER100XX001-UBER100XX010",145,2024-01-22T15:15:00Z
DoorDash,DoorDash Gift Card,Food delivery from thousands of restaurants to your door.,food,true,active,doordash-red,"15:20:DASH15XXX001-DASH15XXX020|25:25:DASH25XXX001-DASH25XXX025|50:18:DASH50XXX001-DASH50XXX018|100:12:DASH100XX001-DASH100XX012",178,2024-01-23T17:00:00Z
Steam,Steam Wallet Card,Access thousands of PC games and in-game content.,gaming,true,active,steam-navy,"5:25:STEA05XXX001-STEA05XXX025|10:30:STEA10XXX001-STEA10XXX030|20:25:STEA20XXX001-STEA20XXX025|50:20:STEA50XXX001-STEA50XXX020|100:15:STEA100XX001-STEA100XX015",412,2024-01-24T10:45:00Z
